"Dataset","DefectNum","ModuleNum","DefectRate","ImbLevel","Metrics","Classifier","ImbLearner","ImbLearnerType","AUC","MCC"
"camel-1.4",145,872,0.166284404,5.013793103,"CK","RF","Y","SMOTE",0.6532,0.1567
"camel-1.4",145,872,0.166284404,5.013793103,"CK","Ripper","Y","SMOTE",0.5584,0.164
"camel-1.4",145,872,0.166284404,5.013793103,"CK","SVM","Y","SMOTE",0.6022,0.1608
"camel-1.4",145,872,0.166284404,5.013793103,"CK","C4.5","Y","MYSMOTE",0.6942,0.2174
"camel-1.4",145,872,0.166284404,5.013793103,"CK","IBk","Y","MYSMOTE",0.7095,0.2183
"camel-1.4",145,872,0.166284404,5.013793103,"CK","LR","Y","MYSMOTE",0.6997,0.2173
"camel-1.4",145,872,0.166284404,5.013793103,"CK","NB","Y","MYSMOTE",0.6709,0.1972
"camel-1.4",145,872,0.166284404,5.013793103,"CK","RF","Y","MYSMOTE",0.6845,0.1959
"camel-1.4",145,872,0.166284404,5.013793103,"CK","Ripper","Y","MYSMOTE",0.7007,0.2202
"camel-1.4",145,872,0.166284404,5.013793103,"CK","SVM","Y","MYSMOTE",0.6653,0.201
"camel-1.4",145,872,0.166284404,5.013793103,"CK","C4.5","Y","UOS",0.5974,0.1505
"camel-1.4",145,872,0.166284404,5.013793103,"CK","IBk","Y","UOS",0.6509,0.1651
"camel-1.4",145,872,0.166284404,5.013793103,"CK","LR","Y","UOS",0.6946,0.2194
"camel-1.4",145,872,0.166284404,5.013793103,"CK","NB","Y","UOS",0.6596,0.1847
"camel-1.4",145,872,0.166284404,5.013793103,"CK","RF","Y","UOS",0.6445,0.1557
"camel-1.4",145,872,0.166284404,5.013793103,"CK","Ripper","Y","UOS",0.6133,0.1718
